Opportunity ID,Stage / Market,Language,Pricing,Payments,Compliance,Product,Sales,Marketing,Support,Integrations,Go / No-Go Gate
SAAS-008,3 France,French; French accounting terminology,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Consent/preferences,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; Calendar/CSV; SMS provider; approved messaging only,2 paid pilots; one supported connector; real competitive win
SAAS-008,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Consent/preferences,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; Calendar/CSV; SMS provider; approved messaging only,Language and e-invoicing legal review complete
SAAS-008,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Consent/preferences,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; Calendar/CSV; SMS provider; approved messaging only,CAD willingness-to-pay and timezone support validated
SAAS-008,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Consent/preferences,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; Calendar/CSV; SMS provider; approved messaging only",Choose one country; legal/PSP/data path and2 pilots
SAAS-008,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Consent/preferences,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; Calendar/CSV; SMS provider; approved messaging only,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-009,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Bank CSV matching,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; Bank CSV; school roster CSV; no assumed Massar API,3 unrelated pilots; legal data path before live processing
SAAS-009,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Bank CSV matching,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; Bank CSV; school roster CSV; no assumed Massar API,2 prepaid customers; qualified partner; support economics viable
SAAS-009,3 France,French; French accounting terminology,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Bank CSV matching,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; Bank CSV; school roster CSV; no assumed Massar API,2 paid pilots; one supported connector; real competitive win
SAAS-009,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Bank CSV matching,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; Bank CSV; school roster CSV; no assumed Massar API,Language and e-invoicing legal review complete
SAAS-009,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Bank CSV matching,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; Bank CSV; school roster CSV; no assumed Massar API,CAD willingness-to-pay and timezone support validated
SAAS-009,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Bank CSV matching,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; Bank CSV; school roster CSV; no assumed Massar API",Choose one country; legal/PSP/data path and2 pilots
SAAS-009,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 2500.0MAD / 349.0EUR / 399.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Bank CSV matching,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; Bank CSV; school roster CSV; no assumed Massar API,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-010,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Recurring checklist,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; CSV assets; QR labels; no IoT in MVP,3 unrelated pilots; legal data path before live processing
SAAS-010,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Recurring checklist,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; CSV assets; QR labels; no IoT in MVP,2 prepaid customers; qualified partner; support economics viable
SAAS-010,3 France,French; French accounting terminology,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Recurring checklist,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; CSV assets; QR labels; no IoT in MVP,2 paid pilots; one supported connector; real competitive win
SAAS-010,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Recurring checklist,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; CSV assets; QR labels; no IoT in MVP,Language and e-invoicing legal review complete
SAAS-010,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Recurring checklist,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; CSV assets; QR labels; no IoT in MVP,CAD willingness-to-pay and timezone support validated
SAAS-010,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Recurring checklist,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; CSV assets; QR labels; no IoT in MVP",Choose one country; legal/PSP/data path and2 pilots
SAAS-010,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 699.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Recurring checklist,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; CSV assets; QR labels; no IoT in MVP,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-011,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Unit register,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; Email; unit CSV; contractor portal,3 unrelated pilots; legal data path before live processing
SAAS-011,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Unit register,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; Email; unit CSV; contractor portal,2 prepaid customers; qualified partner; support economics viable
SAAS-011,3 France,French; French accounting terminology,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Unit register,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; Email; unit CSV; contractor portal,2 paid pilots; one supported connector; real competitive win
SAAS-011,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Unit register,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; Email; unit CSV; contractor portal,Language and e-invoicing legal review complete
SAAS-011,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Unit register,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; Email; unit CSV; contractor portal,CAD willingness-to-pay and timezone support validated
SAAS-011,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Unit register,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; Email; unit CSV; contractor portal",Choose one country; legal/PSP/data path and2 pilots
SAAS-011,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 2000.0MAD / 299.0EUR / 349.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Unit register,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; Email; unit CSV; contractor portal,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-012,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Quote templates,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; Email; CSV rates; PMS export later; no OTA scraping,3 unrelated pilots; legal data path before live processing
SAAS-012,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Quote templates,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; Email; CSV rates; PMS export later; no OTA scraping,2 prepaid customers; qualified partner; support economics viable
SAAS-012,3 France,French; French accounting terminology,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Quote templates,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; Email; CSV rates; PMS export later; no OTA scraping,2 paid pilots; one supported connector; real competitive win
SAAS-012,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Quote templates,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; Email; CSV rates; PMS export later; no OTA scraping,Language and e-invoicing legal review complete
SAAS-012,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Quote templates,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; Email; CSV rates; PMS export later; no OTA scraping,CAD willingness-to-pay and timezone support validated
SAAS-012,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Quote templates,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; Email; CSV rates; PMS export later; no OTA scraping",Choose one country; legal/PSP/data path and2 pilots
SAAS-012,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 1800.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Quote templates,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; Email; CSV rates; PMS export later; no OTA scraping,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-013,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Evidence checklist,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; M365; PSA CSV; read-only integration later,3 unrelated pilots; legal data path before live processing
SAAS-013,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Evidence checklist,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; M365; PSA CSV; read-only integration later,2 prepaid customers; qualified partner; support economics viable
SAAS-013,3 France,French; French accounting terminology,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Evidence checklist,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; M365; PSA CSV; read-only integration later,2 paid pilots; one supported connector; real competitive win
SAAS-013,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Evidence checklist,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; M365; PSA CSV; read-only integration later,Language and e-invoicing legal review complete
SAAS-013,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Evidence checklist,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; M365; PSA CSV; read-only integration later,CAD willingness-to-pay and timezone support validated
SAAS-013,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Evidence checklist,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; M365; PSA CSV; read-only integration later",Choose one country; legal/PSP/data path and2 pilots
SAAS-013,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 5500.0MAD / 699.0EUR / 899.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Evidence checklist,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; M365; PSA CSV; read-only integration later,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-014,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Approval routing,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; CSV; email; one ERP export; no money movement,3 unrelated pilots; legal data path before live processing
SAAS-014,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Approval routing,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; CSV; email; one ERP export; no money movement,2 prepaid customers; qualified partner; support economics viable
SAAS-014,3 France,French; French accounting terminology,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Approval routing,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; CSV; email; one ERP export; no money movement,2 paid pilots; one supported connector; real competitive win
SAAS-014,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Approval routing,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; CSV; email; one ERP export; no money movement,Language and e-invoicing legal review complete
SAAS-014,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Approval routing,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; CSV; email; one ERP export; no money movement,CAD willingness-to-pay and timezone support validated
SAAS-014,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Approval routing,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; CSV; email; one ERP export; no money movement",Choose one country; legal/PSP/data path and2 pilots
SAAS-014,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 749.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Approval routing,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; CSV; email; one ERP export; no money movement,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-015,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Timesheet capture,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; ATS CSV; timesheet uploads; payroll export only,3 unrelated pilots; legal data path before live processing
SAAS-015,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Timesheet capture,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; ATS CSV; timesheet uploads; payroll export only,2 prepaid customers; qualified partner; support economics viable
SAAS-015,3 France,French; French accounting terminology,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Timesheet capture,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; ATS CSV; timesheet uploads; payroll export only,2 paid pilots; one supported connector; real competitive win
SAAS-015,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Timesheet capture,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; ATS CSV; timesheet uploads; payroll export only,Language and e-invoicing legal review complete
